transaction_id,supplier_id,supplier_category,invoice_number,po_number,invoice_date,payment_date,payment_terms_days,po_amount,invoice_amount,paid_amount,invoice_currency,payment_currency,bank_account,bank_changed_recently,anomaly_type,amount_usd,is_anomaly
TXN-0003366,SUP-0008,Aircraft Components,INV-579-2026-003366,PO-2025-003366,2025-01-02,2025-02-09,30,1627.65,1415.53,1415.53,EUR,EUR,BANK-22713593,False,normal,1542.93,0
TXN-0003599,SUP-0081,Aircraft Components,INV-630-2026-003599,PO-2026-003599,2025-01-02,2025-01-21,30,201230.73,157572.01,157572.01,AED,AED,BANK-54937628,False,normal,42906.86,0
TXN-0004151,SUP-0132,Professional Services,INV-961-2026-004151,PO-2026-004151,2025-01-02,2025-02-25,45,6857.73,5536.26,5536.26,GBP,GBP,BANK-59967823,False,normal,7031.05,0
TXN-0004155,SUP-0135,Ground Services,INV-402-2026-004155,PO-2026-004155,2025-01-02,2025-02-27,60,19026.28,15080.77,15080.77,AED,AED,BANK-85671420,False,normal,4106.49,0
TXN-0004623,SUP-0053,Professional Services,INV-162-2026-004623,PO-2026-004623,2025-01-02,2025-02-14,30,9389.04,7132.35,7132.35,EUR,EUR,BANK-76295561,False,normal,7774.26,0
TXN-0000144,SUP-0059,Professional Services,INV-663-2026-000144,PO-2025-000144,2025-01-03,2025-02-03,30,34139.67,30166.32,30166.32,USD,USD,BANK-95295830,False,normal,30166.32,0
TXN-0000805,SUP-0038,Maintenance,INV-156-2026-000805,PO-2026-000805,2025-01-03,2025-02-14,45,15134.67,13643.92,13643.92,AED,AED,BANK-86107842,False,normal,3715.24,0
TXN-0001161,SUP-0055,Professional Services,INV-438-2026-001161,PO-2026-001161,2025-01-03,2025-02-01,30,16720.41,13208.45,13208.45,AED,AED,BANK-44199230,False,normal,3596.66,0
TXN-0001398,SUP-0136,Maintenance,INV-385-2026-001398,PO-2025-001398,2025-01-03,2025-02-09,30,12433.15,11943.48,11943.48,USD,USD,BANK-19530766,False,normal,11943.48,0
TXN-0002086,SUP-0150,Facilities,INV-855-2026-002086,PO-2025-002086,2025-01-03,2025-02-16,45,13963.64,11843.14,11843.14,USD,USD,BANK-67087104,False,normal,11843.14,0
TXN-0002183,SUP-0013,Aircraft Components,INV-798-2026-002183,PO-2026-002183,2025-01-03,2025-02-26,60,9043.25,6633.41,6633.41,AED,AED,BANK-84681076,False,normal,1806.28,0
TXN-0002350,SUP-0087,Information Technology,INV-338-2026-002350,PO-2025-002350,2025-01-03,2025-02-11,45,6570.45,6490.33,6490.33,AED,AED,BANK-25685067,False,normal,1767.32,0
TXN-0002616,SUP-0021,Professional Services,INV-161-2026-002616,PO-2025-002616,2025-01-03,2025-02-22,30,8667.87,7263.7,7263.7,EUR,EUR,BANK-65967398,False,normal,7917.43,0
TXN-0003576,SUP-0004,Maintenance,INV-860-2026-003576,PO-2025-003576,2025-01-03,2025-02-05,30,7889.52,7028.81,7028.81,AED,AED,BANK-92441065,False,normal,1913.94,0
TXN-0004109,SUP-0099,Facilities,INV-361-2026-004109,PO-2026-004109,2025-01-03,2025-02-07,45,18282.6,16568.93,16568.93,USD,USD,BANK-78956930,False,normal,16568.93,0
TXN-0004969,SUP-0050,Ground Services,INV-693-2026-004969,PO-2026-004969,2025-01-03,2025-02-05,45,9491.73,8938.2,8938.2,USD,USD,BANK-46919792,False,normal,8938.2,0
TXN-0005127,SUP-0103,Facilities,INV-530-2026-005127,PO-2026-005127,2025-01-03,2025-02-18,45,26046.44,20213.9,20213.9,USD,USD,BANK-87788293,False,normal,20213.9,0
TXN-0005349,SUP-0041,Information Technology,INV-849-2026-005349,PO-2026-005349,2025-01-03,2025-03-01,45,13388.31,11709.63,11709.63,USD,USD,BANK-90410196,False,normal,11709.63,0
TXN-0000341,SUP-0109,Aircraft Components,INV-551-2026-000341,PO-2026-000341,2025-01-04,2025-02-20,45,39846.36,39519.12,39519.12,USD,USD,BANK-84335845,False,normal,39519.12,0
TXN-0000560,SUP-0025,Maintenance,INV-187-2026-000560,PO-2025-000560,2025-01-04,2025-04-21,90,2652.49,2027.11,2027.11,EUR,EUR,BANK-99224451,False,normal,2209.55,0
TXN-0000617,SUP-0148,Aircraft Components,INV-481-2026-000617,PO-2026-000617,2025-01-04,2025-01-24,30,86138.9,76151.87,76151.87,AED,AED,BANK-48887190,False,normal,20736.15,0
TXN-0001144,SUP-0021,Aircraft Components,INV-315-2026-001144,PO-2025-001144,2025-01-04,2025-02-17,45,4008.34,3063.03,3063.03,EUR,EUR,BANK-65967398,False,normal,3338.7,0
TXN-0002121,SUP-0086,Ground Services,INV-905-2026-002121,PO-2026-002121,2025-01-04,2025-02-24,45,109093.43,92522.29,92522.29,USD,USD,BANK-11254265,False,normal,92522.29,0
TXN-0002499,SUP-0116,Ground Services,INV-122-2026-002499,PO-2026-002499,2025-01-04,2025-03-14,60,2108.39,1835.42,1835.42,EUR,EUR,BANK-45782037,False,normal,2000.61,0
TXN-0004115,SUP-0159,Aircraft Components,INV-701-2026-004115,PO-2026-004115,2025-01-04,2025-01-28,30,11977.74,11818.15,11818.15,AED,AED,BANK-81713537,False,normal,3218.08,0
TXN-0004295,SUP-0136,Aircraft Components,INV-629-2026-004295,PO-2026-004295,2025-01-04,2025-02-02,30,9360.89,7834.26,7834.26,USD,USD,BANK-19530766,False,normal,7834.26,0
TXN-0005231,SUP-0032,Maintenance,INV-891-2026-005231,PO-2026-005231,2025-01-04,2025-02-09,45,6528.05,6162.37,6162.37,GBP,GBP,BANK-49158734,False,normal,7826.21,0
TXN-0000196,SUP-0022,Maintenance,INV-840-2026-000196,PO-2025-000196,2025-01-05,2025-04-16,90,6340.41,5919.1,5919.1,USD,USD,BANK-56355141,False,normal,5919.1,0
TXN-0000724,SUP-0155,Maintenance,INV-684-2026-000724,PO-2025-000724,2025-01-05,2025-03-29,90,9300.98,6785.44,6785.44,USD,USD,BANK-19822959,False,normal,6785.44,0
TXN-0001039,SUP-0097,Ground Services,INV-312-2026-001039,PO-2026-001039,2025-01-05,2025-01-19,30,16060.57,13166.26,13166.26,USD,USD,BANK-93475211,False,normal,13166.26,0
TXN-0002093,SUP-0156,Aircraft Components,INV-260-2026-002093,PO-2026-002093,2025-01-05,2025-03-08,60,14379.36,12602.45,12602.45,AED,AED,BANK-35913857,False,normal,3431.65,0
TXN-0002154,SUP-0137,Maintenance,INV-554-2026-002154,PO-2025-002154,2025-01-05,2025-03-15,60,15044.95,14702.26,14702.26,GBP,GBP,BANK-75099036,False,normal,18671.87,0
TXN-0002386,SUP-0157,Ground Services,INV-161-2026-002386,PO-2025-002386,2025-01-05,2025-02-03,30,17336.05,17152.08,17152.08,USD,USD,BANK-84648574,False,normal,17152.08,0
TXN-0002871,SUP-0010,Maintenance,INV-824-2026-002871,PO-2026-002871,2025-01-05,2025-03-29,90,8844.55,7593.56,7593.56,USD,USD,BANK-59212295,False,normal,7593.56,0
TXN-0002996,SUP-0040,Information Technology,INV-348-2026-002996,PO-2025-002996,2025-01-05,2025-02-20,60,14436.12,18961.07,18961.07,AED,AED,BANK-30107614,False,invoice_above_po,5163.1,1
TXN-0003008,SUP-0120,Information Technology,INV-440-2026-003008,PO-2025-003008,2025-01-05,2025-03-06,60,11350.46,9424.0,9424.0,AED,AED,BANK-53972563,False,normal,2566.16,0
TXN-0003382,SUP-0130,Aircraft Components,INV-767-2026-003382,PO-2025-003382,2025-01-05,2025-02-23,60,11626.59,11066.78,11066.78,AED,AED,BANK-12237354,False,normal,3013.48,0
TXN-0003953,SUP-0056,Professional Services,INV-106-2026-003953,PO-2026-003953,2025-01-05,2025-03-20,60,3863.14,2856.05,2856.05,EUR,EUR,BANK-33621446,False,normal,3113.09,0
TXN-0004013,SUP-0040,Professional Services,INV-124-2026-004013,PO-2026-004013,2025-01-05,2025-03-05,60,12972.0,10489.57,10489.57,AED,AED,BANK-30107614,False,normal,2856.31,0
TXN-0005048,SUP-0072,Aircraft Components,INV-446-2026-005048,PO-2025-005048,2025-01-05,2025-01-29,30,18482.63,16820.64,16820.64,USD,USD,BANK-88710582,False,normal,16820.64,0
TXN-0001135,SUP-0043,Ground Services,INV-427-2026-001135,PO-2026-001135,2025-01-06,2025-02-21,30,14874.03,14343.72,14343.72,AED,AED,BANK-56697251,False,normal,3905.79,0
TXN-0001217,SUP-0110,Facilities,INV-258-2026-001217,PO-2026-001217,2025-01-06,2025-04-06,90,3979.03,3462.92,3462.92,EUR,EUR,BANK-21795197,False,normal,3774.58,0
TXN-0001853,SUP-0007,Maintenance,INV-228-2026-001853,PO-2026-001853,2025-01-06,2025-02-28,45,11396.91,10641.06,10641.06,EUR,EUR,BANK-31280989,False,normal,11598.76,0
TXN-0001948,SUP-0051,Professional Services,INV-823-2026-001948,PO-2025-001948,2025-01-06,2025-02-27,60,1243.56,915.06,915.06,USD,USD,BANK-43629195,False,normal,915.06,0
TXN-0002500,SUP-0104,Ground Services,INV-332-2026-002500,PO-2025-002500,2025-01-06,2025-02-08,30,5324.17,4741.78,4741.78,GBP,GBP,BANK-82371206,False,normal,6022.06,0
TXN-0002589,SUP-0094,Information Technology,INV-228-2026-002589,PO-2026-002589,2025-01-06,2025-01-27,30,11519.16,9839.92,9839.92,USD,USD,BANK-20964925,False,normal,9839.92,0
TXN-0002646,SUP-0074,Facilities,INV-470-2026-002646,PO-2025-002646,2025-01-06,2025-02-07,30,20016.42,22284.81,22284.81,USD,USD,BANK-27679119,False,invoice_above_po,22284.81,1
TXN-0002944,SUP-0049,Maintenance,INV-735-2026-002944,PO-2025-002944,2025-01-06,2025-02-02,30,18684.53,15862.17,15862.17,AED,AED,BANK-69549513,False,normal,4319.27,0
TXN-0002968,SUP-0056,Ground Services,INV-617-2026-002968,PO-2025-002968,2025-01-06,2025-01-24,30,17277.08,16958.25,16958.25,EUR,EUR,BANK-33621446,False,normal,18484.49,0
TXN-0003136,SUP-0036,Information Technology,INV-741-2026-003136,PO-2025-003136,2025-01-06,2025-02-04,30,21176.96,16334.65,16334.65,USD,USD,BANK-90250953,False,normal,16334.65,0
TXN-0004403,SUP-0055,Ground Services,INV-928-2026-004403,PO-2026-004403,2025-01-06,2025-01-31,30,21860.05,18507.54,18507.54,AED,AED,BANK-44199230,False,normal,5039.6,0
TXN-0005095,SUP-0087,Professional Services,INV-930-2026-005095,PO-2026-005095,2025-01-06,2025-02-14,30,3546.69,2654.19,2654.19,AED,AED,BANK-25685067,False,normal,722.74,0
TXN-0005332,SUP-0148,Information Technology,INV-902-2026-005332,PO-2025-005332,2025-01-06,2025-02-21,60,6406.15,5125.55,5125.55,AED,AED,BANK-48887190,False,normal,1395.69,0
TXN-0000100,SUP-0148,Aircraft Components,INV-197-2026-000100,PO-2025-000100,2025-01-07,2025-03-14,60,2013.83,1953.76,1953.76,AED,AED,BANK-48887190,False,normal,532.01,0
TXN-0000429,SUP-0095,Information Technology,INV-717-2026-000429,PO-2026-000429,2025-01-07,2025-02-26,60,7125.82,5332.47,5332.47,USD,USD,BANK-36688168,False,normal,5332.47,0
TXN-0000937,SUP-0095,Aircraft Components,INV-153-2026-000937,PO-2026-000937,2025-01-07,2025-03-04,60,5016.09,4756.47,4756.47,USD,USD,BANK-36688168,False,normal,4756.47,0
TXN-0001494,SUP-0128,Professional Services,INV-815-2026-001494,PO-2025-001494,2025-01-07,2025-02-07,30,4536.28,3300.17,3300.17,USD,USD,BANK-93232757,False,normal,3300.17,0
TXN-0001511,SUP-0089,Maintenance,INV-832-2026-001511,PO-2026-001511,2025-01-07,2025-03-07,60,7808.88,6492.38,6492.38,USD,USD,BANK-35136775,False,normal,6492.38,0
TXN-0001887,SUP-0010,Professional Services,INV-373-2026-001887,PO-2026-001887,2025-01-07,2025-02-01,30,1910.11,1573.77,1573.77,USD,USD,BANK-59212295,False,normal,1573.77,0
TXN-0002678,SUP-0051,Aircraft Components,INV-882-2026-002678,PO-2025-002678,2025-01-07,2025-02-10,30,8850.4,6413.75,6413.75,USD,USD,BANK-43629195,False,normal,6413.75,0
TXN-0003659,SUP-0021,Facilities,INV-391-2026-003659,PO-2026-003659,2025-01-07,2025-03-01,60,5650.61,5581.91,5581.91,EUR,EUR,BANK-65967398,False,normal,6084.28,0
TXN-0004125,SUP-0015,Information Technology,INV-215-2026-004125,PO-2026-004125,2025-01-07,2025-02-12,30,6940.78,6482.47,6482.47,USD,USD,BANK-82742631,False,normal,6482.47,0
TXN-0000013,SUP-0149,Ground Services,INV-165-2026-000013,PO-2026-000013,2025-01-08,2025-02-10,30,76031.97,67008.21,67008.21,USD,USD,BANK-52064343,False,normal,67008.21,0
TXN-0000237,SUP-0136,Ground Services,INV-560-2026-000237,PO-2026-000237,2025-01-08,2025-01-20,30,3522.04,3203.42,3203.42,USD,USD,BANK-19530766,False,normal,3203.42,0
TXN-0000885,SUP-0141,Aircraft Components,INV-328-2026-000885,PO-2026-000885,2025-01-08,2025-02-13,30,27982.94,22290.39,22290.39,AED,AED,BANK-10585992,False,normal,6069.67,0
TXN-0001169,SUP-0026,Information Technology,INV-492-2026-001169,PO-2026-001169,2025-01-08,2025-01-28,30,39158.24,29283.4,29283.4,USD,USD,BANK-94243920,False,normal,29283.4,0
TXN-0001324,SUP-0154,Ground Services,INV-234-2026-001324,PO-2025-001324,2025-01-08,2025-02-10,30,5895.84,5664.81,5664.81,AED,AED,BANK-69720522,False,normal,1542.53,0
TXN-0001969,SUP-0133,Aircraft Components,INV-845-2026-001969,PO-2026-001969,2025-01-08,2025-03-16,60,5637.72,4873.46,4873.46,AED,AED,BANK-23338758,False,normal,1327.04,0
TXN-0002413,SUP-0128,Aircraft Components,INV-980-2026-002413,PO-2026-002413,2025-01-08,2025-03-09,60,5295.23,4437.55,4437.55,USD,USD,BANK-93232757,False,normal,4437.55,0
TXN-0002828,SUP-0036,Maintenance,INV-640-2026-002828,PO-2025-002828,2025-01-08,2025-01-09,60,14801.04,11723.02,11723.02,USD,USD,BANK-90250953,False,rapid_payment,11723.02,1
TXN-0005025,SUP-0065,Aircraft Components,INV-254-2026-005025,PO-2026-005025,2025-01-08,2025-03-01,30,7656.22,7545.02,7545.02,AED,AED,BANK-90272029,False,normal,2054.51,0
TXN-0005350,SUP-0137,Ground Services,INV-300-2026-005350,PO-2025-005350,2025-01-08,2025-02-22,45,30042.11,22329.33,22329.33,GBP,GBP,BANK-75099036,False,normal,28358.25,0
TXN-0000273,SUP-0021,Professional Services,INV-856-2026-000273,PO-2026-000273,2025-01-09,2025-02-06,30,3147.01,2663.98,2663.98,EUR,EUR,BANK-65967398,False,normal,2903.74,0
TXN-0000375,SUP-0155,Aircraft Components,INV-889-2026-000375,PO-2026-000375,2025-01-09,2025-02-05,30,12147.26,9128.55,9128.55,USD,USD,BANK-19822959,False,normal,9128.55,0
TXN-0000460,SUP-0020,Ground Services,INV-456-2026-000460,PO-2025-000460,2025-01-09,2025-02-08,30,31069.57,29528.16,29528.16,AED,AED,BANK-36182605,False,normal,8040.52,0
TXN-0000579,SUP-0121,Information Technology,INV-857-2026-000579,PO-2026-000579,2025-01-09,2025-02-09,30,4836.3,3724.19,3724.19,AED,AED,BANK-55753531,False,normal,1014.1,0
TXN-0000803,SUP-0017,Professional Services,INV-714-2026-000803,PO-2026-000803,2025-01-09,2025-03-15,45,35575.57,33459.23,33459.23,AED,AED,BANK-38542500,False,normal,9110.95,0
TXN-0001151,SUP-0027,Maintenance,INV-765-2026-001151,PO-2026-001151,2025-01-09,2025-02-04,45,24201.33,18518.17,18518.17,AED,AED,BANK-26263179,False,normal,5042.5,0
TXN-0001405,SUP-0030,Information Technology,INV-254-2026-001405,PO-2026-001405,2025-01-09,2025-02-14,30,21144.16,17955.24,17955.24,AED,AED,BANK-14041955,False,normal,4889.21,0
TXN-0002644,SUP-0127,Aircraft Components,INV-119-2026-002644,PO-2025-002644,2025-01-09,2025-02-10,30,5722.61,4553.25,4553.25,USD,USD,BANK-96425599,False,normal,4553.25,0
TXN-0002796,SUP-0121,Aircraft Components,INV-851-2026-002796,PO-2025-002796,2025-01-09,2025-02-17,30,3870.15,3671.38,3671.38,AED,AED,BANK-55753531,False,normal,999.72,0
TXN-0003015,SUP-0010,Professional Services,INV-191-2026-003015,PO-2026-003015,2025-01-09,2025-02-25,45,5406.19,5169.89,5169.89,USD,USD,BANK-59212295,False,normal,5169.89,0
TXN-0003474,SUP-0035,Ground Services,INV-661-2026-003474,PO-2025-003474,2025-01-09,2025-02-12,30,38179.83,27824.91,27824.91,AED,AED,BANK-23638594,False,normal,7576.72,0
TXN-0003523,SUP-0031,Information Technology,INV-479-2026-003523,PO-2026-003523,2025-01-09,2025-02-11,60,11662.21,10841.04,10841.04,EUR,EUR,BANK-36891816,False,normal,11816.73,0
TXN-0003640,SUP-0081,Professional Services,INV-503-2026-003640,PO-2025-003640,2025-01-09,2025-03-10,60,3878.45,2928.49,2928.49,AED,AED,BANK-54937628,False,normal,797.43,0
TXN-0004349,SUP-0157,Aircraft Components,INV-858-2026-004349,PO-2026-004349,2025-01-09,2025-04-24,90,11481.09,10591.5,10591.5,USD,USD,BANK-84648574,False,normal,10591.5,0
TXN-0000395,SUP-0014,Aircraft Components,INV-482-2026-000395,PO-2026-000395,2025-01-10,2025-03-02,45,6825.04,6550.1,6550.1,EUR,EUR,BANK-51403053,False,normal,7139.61,0
TXN-0000405,SUP-0016,Maintenance,INV-451-2026-000405,PO-2026-000405,2025-01-10,2025-02-12,30,10101.44,9877.0,9877.0,USD,USD,BANK-96689067,False,normal,9877.0,0
TXN-0000590,SUP-0027,Maintenance,INV-504-2026-000590,PO-2025-000590,2025-01-10,2025-02-07,30,22939.39,21721.83,21721.83,AED,AED,BANK-26263179,False,normal,5914.85,0
TXN-0001741,SUP-0141,Facilities,INV-521-2026-001741,PO-2026-001741,2025-01-10,2025-02-28,45,2087.25,1620.11,1620.11,AED,AED,BANK-10585992,False,normal,441.16,0
TXN-0002308,SUP-0086,Professional Services,INV-698-2026-002308,PO-2025-002308,2025-01-10,2025-02-24,45,2501.25,2444.98,2444.98,USD,USD,BANK-11254265,False,normal,2444.98,0
TXN-0002955,SUP-0152,Professional Services,INV-983-2026-002955,PO-2026-002955,2025-01-10,2025-02-13,30,7069.59,5315.17,5315.17,EUR,EUR,BANK-86228158,False,normal,5793.54,0
TXN-0003400,SUP-0067,Professional Services,INV-281-2026-003400,PO-2025-003400,2025-01-10,2025-02-23,45,4550.2,4143.52,4143.52,AED,AED,BANK-77206550,False,normal,1128.28,0
TXN-0003552,SUP-0099,Maintenance,INV-851-2026-003552,PO-2025-003552,2025-01-10,2025-02-28,60,4038.32,3538.04,3538.04,USD,USD,BANK-78956930,False,normal,3538.04,0
TXN-0003732,SUP-0055,Maintenance,INV-939-2026-003732,PO-2025-003732,2025-01-10,2025-03-19,60,2829.61,2743.69,2743.69,AED,AED,BANK-44199230,False,normal,747.11,0
TXN-0004152,SUP-0080,Facilities,INV-688-2026-004152,PO-2025-004152,2025-01-10,2025-02-06,30,17865.3,25261.89,25261.89,EUR,EUR,BANK-97464377,False,invoice_above_po,27535.46,1
TXN-0005108,SUP-0101,Information Technology,INV-579-2026-005108,PO-2025-005108,2025-01-10,2025-02-23,45,3026.8,2323.92,2323.92,EUR,EUR,BANK-47533220,False,normal,2533.07,0
TXN-0001265,SUP-0150,Facilities,INV-795-2026-001265,PO-2026-001265,2025-01-11,2025-02-04,30,40239.63,34240.67,34240.67,USD,USD,BANK-67087104,False,normal,34240.67,0
TXN-0001660,SUP-0072,Maintenance,INV-905-2026-001660,PO-2025-001660,2025-01-11,2025-03-06,60,11675.87,8605.43,8605.43,USD,USD,BANK-88710582,False,normal,8605.43,0
TXN-0002222,SUP-0049,Aircraft Components,INV-102-2026-002222,PO-2025-002222,2025-01-11,2025-02-02,30,17733.26,13069.03,13069.03,AED,AED,BANK-69549513,False,normal,3558.7,0
TXN-0002611,SUP-0028,Maintenance,INV-709-2026-002611,PO-2026-002611,2025-01-11,2025-02-21,30,21647.54,18463.28,18463.28,USD,USD,BANK-24814703,False,normal,18463.28,0
TXN-0002631,SUP-0157,Aircraft Components,INV-858-2026-004349,PO-2026-004349,2025-01-11,2025-04-11,90,11481.09,10591.5,10591.5,USD,USD,BANK-84648574,False,exact_duplicate,10591.5,1
TXN-0003458,SUP-0156,Maintenance,INV-762-2026-003458,PO-2025-003458,2025-01-11,2025-02-08,30,10148.05,8200.7,8200.7,AED,AED,BANK-35913857,False,normal,2233.05,0
TXN-0003760,SUP-0045,Maintenance,INV-673-2026-003760,PO-2025-003760,2025-01-11,2025-03-20,60,13640.67,12373.68,12373.68,EUR,EUR,BANK-38433614,False,normal,13487.31,0
TXN-0004167,SUP-0054,Information Technology,INV-962-2026-004167,PO-2026-004167,2025-01-11,2025-02-09,30,17799.38,13681.61,13681.61,AED,AED,BANK-77211064,False,normal,3725.5,0
TXN-0004655,SUP-0061,Aircraft Components,INV-231-2026-004655,PO-2026-004655,2025-01-11,2025-02-26,30,3095.11,2609.04,2609.04,AED,AED,BANK-12871994,False,normal,710.44,0
TXN-0004871,SUP-0112,Facilities,INV-615-2026-004871,PO-2026-004871,2025-01-11,2025-02-08,30,762.99,728.44,728.44,USD,USD,BANK-21137842,False,normal,728.44,0
TXN-0000177,SUP-0006,Maintenance,INV-296-2026-000177,PO-2026-000177,2025-01-12,2025-03-12,60,1036.0,1001.39,1001.39,GBP,GBP,BANK-30719258,False,normal,1271.77,0
TXN-0000819,SUP-0098,Ground Services,INV-737-2026-000819,PO-2026-000819,2025-01-12,2025-02-20,45,4236.09,3325.68,3325.68,USD,USD,BANK-72483618,False,normal,3325.68,0
TXN-0001469,SUP-0156,Professional Services,INV-719-2026-001469,PO-2026-001469,2025-01-12,2025-02-11,30,15454.81,14381.28,14381.28,AED,AED,BANK-35913857,False,normal,3916.02,0
TXN-0001826,SUP-0011,Ground Services,INV-969-2026-001826,PO-2025-001826,2025-01-12,2025-03-17,60,3275.7,2382.94,2382.94,USD,USD,BANK-43383005,False,normal,2382.94,0
TXN-0002023,SUP-0066,Ground Services,INV-966-2026-002023,PO-2026-002023,2025-01-12,2025-02-01,30,39548.72,31416.46,31416.46,AED,AED,BANK-23795588,False,normal,8554.7,0
TXN-0002239,SUP-0127,Facilities,INV-816-2026-002239,PO-2026-002239,2025-01-12,2025-03-02,30,49354.12,46702.8,46702.8,USD,USD,BANK-96425599,False,normal,46702.8,0
TXN-0002493,SUP-0046,Maintenance,INV-687-2026-002493,PO-2026-002493,2025-01-12,2025-03-22,60,4152.8,3979.76,3979.76,EUR,EUR,BANK-11990275,False,normal,4337.94,0
TXN-0002707,SUP-0108,Aircraft Components,INV-760-2026-002707,PO-2026-002707,2025-01-12,2025-02-08,30,9932.14,9444.16,13171.69,USD,USD,BANK-76508559,False,overpayment,13171.69,1
TXN-0002739,SUP-0098,Information Technology,INV-911-2026-002739,PO-2026-002739,2025-01-12,2025-02-25,45,10277.08,8676.66,8676.66,USD,USD,BANK-72483618,False,normal,8676.66,0
TXN-0003480,SUP-0137,Aircraft Components,INV-915-2026-003480,PO-2025-003480,2025-01-12,2025-02-10,30,1813.91,1796.55,1796.55,GBP,GBP,BANK-75099036,False,normal,2281.62,0
TXN-0004768,SUP-0090,Ground Services,INV-344-2026-004768,PO-2025-004768,2025-01-12,2025-02-25,45,21709.26,21240.06,21240.06,AED,AED,BANK-21863999,False,normal,5783.67,0
TXN-0000328,SUP-0046,Aircraft Components,INV-477-2026-000328,PO-2025-000328,2025-01-13,2025-02-21,45,8274.68,6094.8,6094.8,EUR,EUR,BANK-11990275,False,normal,6643.33,0
